ID,Tweet,Sentiment
1.05345420633673E+018,The #Halloween helmet is back!  And it can be yours when I’m finished with it. Get your tickets now at ,0
1.05345419572913E+018,You’ll be happy to know that in a parallel universe Laurie Strode LOVES Halloween night! #tbt #Hal,1
1.05345417964418E+018,The Other Side of the Door was tonight's movie. #horror #halloween,0
1.05345417712739E+018,CTHULHU DEEP DOWN UNDER is great! Thank you for sending it to me. Your story was he,-1
1.05345416637755E+018,This is it. This is the height of my photography. No picture I ever take will be better than this.  #pumpkinspice ,1
1.0534541622084E+018,"The undead surround me. Have you ever talked to a corpse? It's boring! I'm lonely! Kill yourself, David, before you kill",-1
1.05345416169654E+018,El festival de la calabaza organizado por reunió a decenas de familias en el centro comercial ,0
1.05345416136542E+018,"One of our favourite’s tiny artists, rocking her . Stay tuned for #halloween programming for the little ones. ",-1
1.0534541527419E+018,"Right?! #halloween is our very favorite day of the year!

We're sure there must be a reason for that.",0
1.05345414457555E+018,"Inktober Day Nineteen - Scorched
inktober #inktober #Inktober2018 #penandink sketchchallenge #halloween #GuildDraws",0
1.05345414080906E+018,"When your daughter says she wants to be Ripley for #halloween, you do as you're told!
#Horror ",0
1.05345413943752E+018,"Ya falta poco para #halloween 
#instaboy #instame #tumblrboy #alternariveboy #painting",0
1.05345412327256E+018,"More Halloween  decorations. To be honest, this is up year round. Giant skull in a black fez. #horseandanchor",0
1.05345411742989E+018,"Is Dr. Butler saying ""ghost"" a lot because it is late October? I'd like to think that. #Halloween #ASAC18",0
1.05345411267787E+018," When your daughter says she wants to be Ripley for #halloween, you do as you're told!
#Horror ",0
1.05345410771189E+018,Round two with all my Bros #Halloween #HalloweenMovie #Halloween2018 #MichaelMyers ,1
1.05345409697444E+018,"Mask Giveaway Details!
In the evil spirit of Halloween we are giving out custom made masks inspired by our soon-to-be laun",-1
1.05345405950249E+018,"More #halloween heat
#beatstars #musicproducer #beats #Halloween2018 #halloweeninspir",0
1.05345403142989E+018,Text BOO to 300300 to get locked in to an exclusive offer just for you! Click here to shop our Halloween costumes!,0
1.05345401649414E+018,Black #velvet #cake  ready for your next #halloween #party that’s topped with,0
1.05345401284512E+018,"Dear #Halloween, 
don’t make us wait too long
#Costume #Idea #BT21 ",0
1.05345399714152E+018,‘Talented Mother Crochets a Freehand Bright Green Ghostbusters Slimer Costume for Her Youngest Son’ ,1
1.05345399568195E+018,"Not much longer to #Halloween, be sure you got the music to match!
#NewMusicFriday ",0
1.05345396731168E+018,"Morbid as hell question but i'm stuck in an argument while watching #PetSematary 

What would hurt more losing as a",-1
1.0534539671733E+018,"Which Extra Strong Colour gel will you dare to bake with this #Halloween? 
BLOOD RED? 
PUMPKIN ORANGE? 
BAT BLACK? ",0
1.05345395421711E+018,We are starting to get dressed up for Halloween! #thespitjack #cork #halloween #cork #ireland #breakfast #brunch #lunc,0
1.05345394844156E+018,Get in the #Halloween sprit with an Awoo Crew decal! Great for #wolf and #werewolf lovers alike! ,1
1.05345394109309E+018,I finally found my pumpkins #halloween #pumpkinpatch #thesequel ,0
1.05345394014518E+018," Llega un clásico de #Halloween que no te podés perder 
Se viene  en La Cumbre el 27/10 para festejar los #25Años",0
1.05345393369019E+018,"¡Otro #gasolinazo... De #Halloween!

Hacienda aumentará IEPS a  la gasolinas a partir de mañana. 

Se disparará entre 4",0
1.05345393355593E+018,I know it's late in the season to be getting decorations! But I got this from CVS last night! #halloween ,0
1.05345393277997E+018,Tasty #Halloween ,1
1.05345392468915E+018,Happy Halloween (almost)  #Halloween #aurora #northernlights #Auroraborealis #Autumn #a7s #sony #sigma #fairbanks #Alaska,1
1.05345392458838E+018,"lol! !  ! ! ! ! !  Oh my,  I dont know What I would have done...  Probably the same thing...  #Halloween",0
1.05345392401392E+018,"#inktober2018
Dia 19: queimado 
#inktober #queimado #scorched #bruxa #witch #sortistino #fogueira #halloween",0
1.05345391050408E+018,"WOW YOU REALLY CANT WIFE EM MAN, SHORTY GRABBED THE CROW BAR AND AINT DO SHIT IM SO MAD. BUDDY DIED TRYNA SAVE THE OPP SMH #HALLOWEEN",-1
1.05345387983528E+018,Prowling Poster of the Day: John Carpenter’s #Halloween (1978) #Horror #MichaelMyers,0
1.05345387931099E+018,Halloween Front Porch (Home Depot Style Challenge) #halloween,0
1.05345387718875E+018,2morrow We Drop Over 300 #samples #sounds #Synths #fx #Halloween style #SoundPack #soundkit #Samplepack Low Price,0
1.05345387246173E+018,"“The undead surround me. Have you ever talked to a corpse? It's boring! I'm lonely! Kill yourself, David, before yo",-1
1.053453829428E+018," of Thrones #Quaithe Mask, Necklace, and Armbands - Free Shipping in the US",0
1.05345382416008E+018,Ayyyy sería una buena opción de entremés o regalitos para #Halloween,0
1.05345381734015E+018,"In the spirit of #Halloween, I have revealed the new cover to the next installment of #TheSquickerwonkers #audiobook ",0
1.05345381663138E+018,"Otro #gasolinazo... De #Halloween!

Hacienda aumentará IEPS a  la gasolinas a partir de mañana. 

Se disparará entre 4",0
1.05345381236152E+018,My newest book Death O Death is here and up for #PreOrder  #onsalenow Are you brave enough? Official release date #Halloween,0
1.05345380953462E+018," There are only a few days left until Halloween. Meanwhile, it's not bad to go disguising (\( ' o ' )/)

#pokemon ",0
1.05345380482009E+018,"They are here! The very spooky #BT21Halloween Collection!
Too scary but still cute!
​
Amazon",1
1.05345380454321E+018,"#GameOfThrones #Quaithe Mask, Necklace, and Armbands - Free Shipping in the US!",0
1.05345380382179E+018,"#DeadbyDaylight 
#Halloween ",0
1.05345379789116E+018,"Willing to trade soul for Merlin Lily in ONILAND. HMU Satan 
#FGO #FateGO #halloween ",0
1.05345379630995E+018,SCARYYYYYY. (The middle of the No. 6 fell out but I think it maintained the right tone.) #halloween #vote,-1
1.05345379552965E+018,#Sansa #Stark O-ring Chain - Free US Shipping! Reduced Price! #SophieT #costumes #Ga,0
1.0534537897163E+018,#Inktober Monstory: day 19 #halloween,0
1.05345378512778E+018,Come party with @PeterMcCormack and Myself at sponsored by,1
1.05345378284201E+018,Got a BFF (Best Friend Fur-ever) who loves to vamp it up for All Hallows’ Eve? It’s time to unleash their adorableness,1
1.0534537762023E+018,"Its getting cozy!
#Halloween #Halloweendecorations #norwegianhalloween #Halloween2018 #Halloweenjunkie",0
1.0534537724485E+018,"It’s 5’o clock somewhere  #skeleton #halloween #wine #bones #funny #swing @ Ridgefield, Connecticut",1
1.05345377238964E+018,Black white herringbone boy's romper w/reversible flap Halloween/Sports 24 mos #Adorable #Toddlers #Halloween,0
1.05345377103498E+018,#GameOfThrones The Red Woman #Melisandre Choker w/ LED Glowing Stone - Free Shipping in the US!,0
1.05345376068756E+018,#Halloween #GameOfThrones The Red Woman #Melisandre Choker w/ LED Glowing Stone - Free Shipping in the US!,0
1.0534537522444E+018,"#Halloween #CostumeIdeas #GameOfThrones #Quaithe Mask, Necklace, and Armbands - Free Shipping in the US",0
1.05345375016844E+018,#Halloween may now officially commence. Sammy took it back to his kennywoodfrightnights roots in the #voodoobayou,1
1.05345374910721E+018,My newest book Death O Death is here and up for #PreOrder  #onsalenow Are you brave enough? Official release date #Halloween,0
1.05345374760992E+018,"I just published ""He's Watched Me My Entire Life "" of my story ""One Little Halloween Spell""",0
1.05345373308081E+018,"Quick sketch

#drawing #drawtober #painting #sketch #Halloween #spooky #skeleton #art #videogames #concept",0
1.05345373003996E+018,"Nearly finished the first pokeball bag, need some black felt #pokemon #Halloween #crafts",0
1.05345371626156E+018,"#DeadbyDaylight 
#Halloween",0
1.05345371613143E+018,#Halloween  en #NYC todo preparado para celebrar... #calabaza #pumpkin #brujas2018 a cuidarse de ellas..que aparece,0
1.05345370657282E+018,"𝐃𝐚𝐲 𝟭𝟯: 𝗦𝗽𝗼𝗼𝗸𝘁𝗮𝗰𝘂𝗹𝗮𝗿!!
#Inktober2018 #illustration
#pastel #Halloween #pinup ",1
1.05345369297487E+018,"Oh no! It's a new #RetailInPieces !!!!!!!!
#CoinLaundryComics
#Tapastic",-1
1.0534536896698E+018,These #cute #kittens and #pumpkin #cakepops are ideal for #halloween! In our #YouTube #channel you can find,0
1.053453687325E+018,#Halloween starts tomorrow in Terraria! It is getting #scary,0
1.05345366690731E+018,"Nearly finished the first pokeball bag, need some black felt #pokemon #Halloween #crafts",0
1.0534536626459E+018,ceppers and I had a very special horror mom's night out tonight!!! Soooo good #Halloween #horrormoms,1
1.0534536608086E+018,So I guess we're doing this... Plus Ultra. #MyHeroAcademia #Halloween #dadlife,0
1.05345363051314E+018,Happy Halloween (almost)  #Halloween #aurora #northernlights #Auroraborealis #Autumn #a7s #sony #sigma #fairbanks #Alaska ht,1
1.05345362427219E+018,#Halloween #Original_Recipes #Harry_Potter #Recipes #Soup Harry Potter Fans Know to Eat This Leaky Cauldron Pea Soup,0
1.05345362150817E+018,"Dear #Halloween, 
don’t make us wait too long
#Costume #Idea #BT21",0
1.05345361332494E+018,"I'm having way too much fun editing tonight. I call this shot #doubletrouble.
Watch at 10:00 to see the",1
1.05345361289303E+018,Perfect new #PB to introduce #Halloween customs to little kids: LUKE AND LOTTIE IT'S HALLOWEEN! From costumes to ,0
1.05345361192414E+018,Like #horror ?  Things that go bump in the night?  Order your copy of CHAMBER OF TERROR #1 from our website now!,0
1.05345360253314E+018,"Got this dope ass mask 
#halloween #mask #Followme",0
1.05345359249191E+018,"The Spooky Sisters
Im doing Hamilton drawings for Halloween, you can see them first of my patreon Any of them will be on red",0
1.05345357933844E+018, #happyhalloween,1
1.05345356089208E+018,This is why you don't get your expectations super high: I was pretty disappointed in #Halloween. It's not terrible,-1
1.0534535426467E+018,Decided to draw my baby Heart in a slutty as hell witch costume for halloween. I had a blast with this drawing,-1
1.05345353556245E+018,Happy Halloween,1
1.05345351441073E+018,I know #steveurkel & #MichaelMyers (ek!) #familymatters #Halloween,0
1.05345351051411E+018,Our video review for Halloween is in the process of transcoding. It'll be up on YouTube tomorrow morning,0
1.05345350316586E+018,"Nueva oportunidad para ganar una caja de #FiniMonsterChallenge! 
¡Ponemos 3 en juego! Síguenos.
Haz Rt.
¡Mañana",0
1.05345348176635E+018,#NowPlaying #Halloween #HalloweenMovie,0
1.05345348166575E+018, #Halloween2018 #halloween  #kawaii,0
1.05345347375954E+018,13 days until #Halloween. Are you ready? Here are some suggestions and a special discount,0
1.05345347230816E+018,Que miedo #Halloween  lo que hace uno por acompañar a los hijos!!,0
1.05345346987986E+018,"#HALLOWEEN #COMPETITON TIME!!! This month you could #win a mixed case of our scrumptious popcorn snack packs, perfect f",0
1.05345346290036E+018,Zombie Book Tag #Friday #Blogtober #Zombies #Books #Halloween #BookBlogger ,0
1.0534542094069E+018,Inde: Un mag de l’Eglise soutient #MeToo mais maman sur le viol de Bishop | Inde Nouvelles,0
1.05345420763273E+018,"It may be harder to find Catholic Church priests who are *not* rapists. 
Will #MeToo take this up, or will it quickly be hush…",-1
1.05345419573347E+018,"Hey Shea Butter Twitter, where are all of your #metoo white feminist, intersectional “allies”, who you are always kissing",0
1.05345417470317E+018,#MeToo,1
1.05345417320167E+018,This has been the worst-kept secret in Missouri politics for at least a decade, as best I can tell #MOLeg #MOSen has 
1.0534541474109E+018, I guess the #metoo movement didn't get the memo...you would think when someone openly admits to slap,-1
1.05345409662207E+018,"Heart breaking picture, the poor nun is weeping because judiciary, media, govt and all of us let her down. A rapist Bish",-1
1.05345405720805E+018,"In case you missed it....#writers. 

This #MeToo essay was Rejected repeatedly. I kept at it until(a 95% Rejection Ra",0
1.05345405062735E+018,"It may be harder to find Catholic Church priests who are *not* rapists. 
Will #MeToo take this up, or will it quickly be hush",-1
1.05345404315719E+018,"She founded the #MeToo movement more than a decade ago, way before it was trending.

Today, @TaranaBurke works to ensure that",0
1.05345403370332E+018,"Shut up, Mazie Hirono, You Said Nothing And Did Not Believe When 10 Women Accused Sen. Daniel Inouye Of Sexual Assault",-1
1.053453979341E+018,#MeToo victim stands by her complaint against Vikas Bahl,1
1.05345392171965E+018,A creep meets his #MeToo moment where it hurt. Thank you,-1
1.05345391538201E+018,"My hero, my sister has finally spoken out about the torment she suffered as a child for years at the",1
1.05345387999885E+018,#QAnon #MeToo #SethRich,0
1.05345386425331E+018,Shocking: PMO Declines Maneka Gandhi's Proposal To Form A Committee Of Retired Judges To Probe #MeToo Allegations ,-1
1.05345385607861E+018,"#MeToo movement cannot be misused, Bombay High Court observes as victim decides not to file a complaint against #vikasbahl",1
1.05345385316773E+018,#MeToo founder Tarana Burke says it's 'tragic' Hillary Clinton denied husband's White House affair was an abuse of power ,-1
1.05345383696534E+018,"Hey Shea Butter Twitter, where are all of your #metoo white feminist, intersectional “allies”, who you are always kissing",0
1.05345381979373E+018,"Last night at the Trump rally in PA, a liberal protester touched me against my consent and said he'd throw me on the ground",-1
1.05345381691646E+018,#stopengaging . Everyone seems to be horrified about the #metoo stories but why is no one saying anything?#useyourvoice,-1
1.05345377887831E+018,"It looks like Obama did spy on Trump, just as he apparently did to me  #metoo",-1
1.05345377223881E+018,HillaryClinton That's right little girls - don't EVER let a man take advantage of his powerful positin and make you feel,-1
1.05345377070368E+018,Hillary Clinton has destroyed the #MeToo movement by not saying it was wrong what Bill Clinton did to Monica lewinsky,-1
1.05345376720151E+018,"Claire McCaskill’s Husband Accused Of Hitting, Tripping, Peeing On Ex-Wife #MeToo ",-1
1.05345374702671E+018,"Men, please observe proper dress code even in the privacy of your home. Otherwise the #MeToo Ladies may  get 'aroused'.",0
1.05345374303793E+018,"I knew once I began covering #Indigenous #metoo, it would be a big task, but I had no idea of how big. The flood gates",-1
1.05345373178049E+018,Honored to be quoted in this great report on #MeToo in Asia,1
1.053453674113E+018,"Dei Dei Dei Pombala Porruki Thevayadiya Naaye @vairamuthu .. Thoo

This Tamil Lyricist used to call his female fans from",0
1.05345367186059E+018,"So, acc to you the credibility of any women accusations should be judge by how many vote",-1
1.05345366488139E+018,"HER TOO 
#MeToo ",1
1.05345364349883E+018,After I wrote this I saw a #metoo account in which a survivor was actually bullied by her supervisor to whom she reported,0
1.05345364061741E+018,"#DomesticViolenceAwarenessMonth 
#metoo 

Please browse my tweets. I just left my abuser earlier this year",-1
1.05345363104602E+018,Is Familicide the #MeToo Moment for Domestic Violence?,-1
1.05345360511244E+018,Great! Your survival record today also updated self best! I am proud of you!…,1
1.053453583646E+018,#metoo # believevictims,0
1.0534535821193E+018,Great! Your survival record today also updated self best! I am proud of you!…,1
1.05345354419448E+018,"Can America trust Brett Kavanaugh??

#MeToo #BrettKavanaugh, #DonaldTrump, #Trump, #USA, #America",0
1.0534534931498E+018,"Guardian reporter: GOP lawmaker who assaulted me isn’t a ‘tough cookie,’ he’s a ‘coward’ ",-1
1.05345343663147E+018,Where are the Democrats on this?  Double standards.  They are  Proof they destroyed the #MeToo movement,0
1.05345342207733E+018,"Thank you to Rachael Denhollander, the Louisville woman whose bravery sparked the Larry Nassar investigation",1
1.05345340451149E+018,Why Indian feminists are saying yes to #MeToo &amp, no to sex offenders list. As a Canadian I found this piece by
1.05345340071162E+018, #metoo,1
1.05345338785184E+018,#stopengaging . Everyone seems to be horrified about the #metoo stories but why is no one saying anything?#useyourvoice,-1
1.05345337437558E+018,"Hey Shea Butter Twitter, where are all of your #metoo white feminist, intersectional “allies”, who you are always kissing",0
1.05345336352478E+018,Great! Your survival record today also updated self best! I am proud of,1
